Epoch:  1	Train Error: 0.44996	Test Error: 0.45350
Epoch:  2	Train Error: 0.41744	Test Error: 0.42470
Epoch:  3	Train Error: 0.37288	Test Error: 0.38960
Epoch:  4	Train Error: 0.35932	Test Error: 0.37700
Epoch:  5	Train Error: 0.33294	Test Error: 0.35920
Epoch:  6	Train Error: 0.31434	Test Error: 0.34640
Epoch:  7	Train Error: 0.30964	Test Error: 0.34510
Epoch:  8	Train Error: 0.29284	Test Error: 0.33840
Epoch:  9	Train Error: 0.29332	Test Error: 0.34140
Epoch: 10	Train Error: 0.27986	Test Error: 0.33110
Epoch: 11	Train Error: 0.27984	Test Error: 0.33370
Epoch: 12	Train Error: 0.27234	Test Error: 0.32730
Epoch: 13	Train Error: 0.26212	Test Error: 0.32090
Epoch: 14	Train Error: 0.25808	Test Error: 0.32560
Epoch: 15	Train Error: 0.24690	Test Error: 0.31400
Epoch: 16	Train Error: 0.24550	Test Error: 0.31620
Epoch: 17	Train Error: 0.24596	Test Error: 0.31860
Epoch: 18	Train Error: 0.23520	Test Error: 0.31240
Epoch: 19	Train Error: 0.23396	Test Error: 0.31480
Epoch: 20	Train Error: 0.23366	Test Error: 0.31240
