Epoch:  1	Train Error: 0.29612	Test Error: 0.34010
Epoch:  2	Train Error: 0.27332	Test Error: 0.34330
Epoch:  3	Train Error: 0.19218	Test Error: 0.30290
Epoch:  4	Train Error: 0.14860	Test Error: 0.29660
Epoch:  5	Train Error: 0.11308	Test Error: 0.29240
Epoch:  6	Train Error: 0.09394	Test Error: 0.29240
Epoch:  7	Train Error: 0.08498	Test Error: 0.30650
Epoch:  8	Train Error: 0.05554	Test Error: 0.30260
Epoch:  9	Train Error: 0.05398	Test Error: 0.30030
Epoch: 10	Train Error: 0.03364	Test Error: 0.30270
Epoch: 11	Train Error: 0.03626	Test Error: 0.30380
Epoch: 12	Train Error: 0.02468	Test Error: 0.30080
Epoch: 13	Train Error: 0.03412	Test Error: 0.30960
Epoch: 14	Train Error: 0.02726	Test Error: 0.29860
Epoch: 15	Train Error: 0.03958	Test Error: 0.31550
Epoch: 16	Train Error: 0.01898	Test Error: 0.30570
Epoch: 17	Train Error: 0.02028	Test Error: 0.30750
Epoch: 18	Train Error: 0.01306	Test Error: 0.30090
Epoch: 19	Train Error: 0.01754	Test Error: 0.30090
Epoch: 20	Train Error: 0.01504	Test Error: 0.30690
