Epoch:  1	Train Error: 0.34022	Test Error: 0.36890
Epoch:  2	Train Error: 0.25568	Test Error: 0.30960
Epoch:  3	Train Error: 0.15532	Test Error: 0.26790
Epoch:  4	Train Error: 0.08938	Test Error: 0.26310
Epoch:  5	Train Error: 0.06042	Test Error: 0.26830
Epoch:  6	Train Error: 0.02886	Test Error: 0.26620
Epoch:  7	Train Error: 0.03278	Test Error: 0.27960
Epoch:  8	Train Error: 0.01704	Test Error: 0.27340
Epoch:  9	Train Error: 0.02214	Test Error: 0.27900
Epoch: 10	Train Error: 0.02302	Test Error: 0.28650
Epoch: 11	Train Error: 0.01574	Test Error: 0.27650
Epoch: 12	Train Error: 0.01422	Test Error: 0.27920
Epoch: 13	Train Error: 0.01478	Test Error: 0.27560
Epoch: 14	Train Error: 0.01156	Test Error: 0.27760
Epoch: 15	Train Error: 0.01284	Test Error: 0.28370
Epoch: 16	Train Error: 0.01016	Test Error: 0.28590
Epoch: 17	Train Error: 0.01112	Test Error: 0.27340
Epoch: 18	Train Error: 0.01032	Test Error: 0.27660
Epoch: 19	Train Error: 0.00978	Test Error: 0.27650
Epoch: 20	Train Error: 0.00998	Test Error: 0.27710
