Epoch:  1	Train Error: 0.47478	Test Error: 0.47100
Epoch:  2	Train Error: 0.39966	Test Error: 0.41210
Epoch:  3	Train Error: 0.35528	Test Error: 0.37250
Epoch:  4	Train Error: 0.31880	Test Error: 0.35440
Epoch:  5	Train Error: 0.30490	Test Error: 0.34810
Epoch:  6	Train Error: 0.29750	Test Error: 0.34470
Epoch:  7	Train Error: 0.26048	Test Error: 0.33180
Epoch:  8	Train Error: 0.23006	Test Error: 0.31920
Epoch:  9	Train Error: 0.21676	Test Error: 0.31910
Epoch: 10	Train Error: 0.20512	Test Error: 0.32740
Epoch: 11	Train Error: 0.17606	Test Error: 0.31730
Epoch: 12	Train Error: 0.18196	Test Error: 0.32420
Epoch: 13	Train Error: 0.15332	Test Error: 0.32370
Epoch: 14	Train Error: 0.13478	Test Error: 0.32450
Epoch: 15	Train Error: 0.11732	Test Error: 0.31200
Epoch: 16	Train Error: 0.11272	Test Error: 0.32720
Epoch: 17	Train Error: 0.09168	Test Error: 0.31900
Epoch: 18	Train Error: 0.08184	Test Error: 0.31470
Epoch: 19	Train Error: 0.08724	Test Error: 0.32420
Epoch: 20	Train Error: 0.07886	Test Error: 0.33310
