Epoch:  1	Train Error: 0.84008	Test Error: 0.83970
Epoch:  2	Train Error: 0.79242	Test Error: 0.79000
Epoch:  3	Train Error: 0.72054	Test Error: 0.71420
Epoch:  4	Train Error: 0.66114	Test Error: 0.65670
Epoch:  5	Train Error: 0.61398	Test Error: 0.61600
Epoch:  6	Train Error: 0.58802	Test Error: 0.58170
Epoch:  7	Train Error: 0.54798	Test Error: 0.54520
Epoch:  8	Train Error: 0.52566	Test Error: 0.52770
Epoch:  9	Train Error: 0.51558	Test Error: 0.51640
Epoch: 10	Train Error: 0.48938	Test Error: 0.49500
Epoch: 11	Train Error: 0.48120	Test Error: 0.48710
Epoch: 12	Train Error: 0.47424	Test Error: 0.47670
Epoch: 13	Train Error: 0.44938	Test Error: 0.45800
Epoch: 14	Train Error: 0.43124	Test Error: 0.44410
Epoch: 15	Train Error: 0.42288	Test Error: 0.43590
Epoch: 16	Train Error: 0.41154	Test Error: 0.42920
Epoch: 17	Train Error: 0.39530	Test Error: 0.41570
Epoch: 18	Train Error: 0.38634	Test Error: 0.40540
Epoch: 19	Train Error: 0.37758	Test Error: 0.40070
Epoch: 20	Train Error: 0.36856	Test Error: 0.39020
