Epoch:  1	Train Error: 0.22986	Test Error: 0.28330
Epoch:  2	Train Error: 0.21084	Test Error: 0.29680
Epoch:  3	Train Error: 0.10234	Test Error: 0.24600
Epoch:  4	Train Error: 0.07902	Test Error: 0.26760
Epoch:  5	Train Error: 0.07092	Test Error: 0.27530
Epoch:  6	Train Error: 0.03784	Test Error: 0.25500
Epoch:  7	Train Error: 0.06066	Test Error: 0.27360
Epoch:  8	Train Error: 0.03044	Test Error: 0.26270
Epoch:  9	Train Error: 0.02526	Test Error: 0.25510
Epoch: 10	Train Error: 0.01612	Test Error: 0.24750
Epoch: 11	Train Error: 0.02386	Test Error: 0.25430
Epoch: 12	Train Error: 0.02920	Test Error: 0.26870
Epoch: 13	Train Error: 0.01768	Test Error: 0.24660
Epoch: 14	Train Error: 0.00834	Test Error: 0.24250
Epoch: 15	Train Error: 0.01184	Test Error: 0.24620
Epoch: 16	Train Error: 0.01082	Test Error: 0.24460
Epoch: 17	Train Error: 0.01660	Test Error: 0.25170
Epoch: 18	Train Error: 0.00612	Test Error: 0.24010
Epoch: 19	Train Error: 0.00520	Test Error: 0.23760
Epoch: 20	Train Error: 0.00664	Test Error: 0.24620
