Epoch:  1	Train Error: 0.46426	Test Error: 0.46610
Epoch:  2	Train Error: 0.39284	Test Error: 0.40720
Epoch:  3	Train Error: 0.34746	Test Error: 0.37080
Epoch:  4	Train Error: 0.30776	Test Error: 0.34930
Epoch:  5	Train Error: 0.29376	Test Error: 0.35000
Epoch:  6	Train Error: 0.26306	Test Error: 0.33230
Epoch:  7	Train Error: 0.22036	Test Error: 0.30660
Epoch:  8	Train Error: 0.20134	Test Error: 0.30160
Epoch:  9	Train Error: 0.19084	Test Error: 0.30770
Epoch: 10	Train Error: 0.16584	Test Error: 0.30770
Epoch: 11	Train Error: 0.15242	Test Error: 0.30270
Epoch: 12	Train Error: 0.13310	Test Error: 0.30720
Epoch: 13	Train Error: 0.12722	Test Error: 0.31080
Epoch: 14	Train Error: 0.10172	Test Error: 0.30940
Epoch: 15	Train Error: 0.09734	Test Error: 0.30760
Epoch: 16	Train Error: 0.09870	Test Error: 0.31590
Epoch: 17	Train Error: 0.06678	Test Error: 0.31460
Epoch: 18	Train Error: 0.05868	Test Error: 0.31480
Epoch: 19	Train Error: 0.05860	Test Error: 0.32420
Epoch: 20	Train Error: 0.06242	Test Error: 0.32970
