Epoch:  1	Train Error: 0.56712	Test Error: 0.56570
Epoch:  2	Train Error: 0.52376	Test Error: 0.52390
Epoch:  3	Train Error: 0.49590	Test Error: 0.49740
Epoch:  4	Train Error: 0.48050	Test Error: 0.48550
Epoch:  5	Train Error: 0.46458	Test Error: 0.47030
Epoch:  6	Train Error: 0.46180	Test Error: 0.47470
Epoch:  7	Train Error: 0.43794	Test Error: 0.45500
Epoch:  8	Train Error: 0.42918	Test Error: 0.44580
Epoch:  9	Train Error: 0.42394	Test Error: 0.44050
Epoch: 10	Train Error: 0.41632	Test Error: 0.43640
Epoch: 11	Train Error: 0.41192	Test Error: 0.43250
Epoch: 12	Train Error: 0.41512	Test Error: 0.43050
Epoch: 13	Train Error: 0.39754	Test Error: 0.42350
Epoch: 14	Train Error: 0.38868	Test Error: 0.41570
Epoch: 15	Train Error: 0.38494	Test Error: 0.41300
Epoch: 16	Train Error: 0.38624	Test Error: 0.41280
Epoch: 17	Train Error: 0.38194	Test Error: 0.41060
Epoch: 18	Train Error: 0.37920	Test Error: 0.40880
Epoch: 19	Train Error: 0.39170	Test Error: 0.41670
Epoch: 20	Train Error: 0.37472	Test Error: 0.40570
