Epoch:  1	Train Error: 0.56664	Test Error: 0.56280
Epoch:  2	Train Error: 0.50996	Test Error: 0.51470
Epoch:  3	Train Error: 0.47486	Test Error: 0.48340
Epoch:  4	Train Error: 0.43388	Test Error: 0.44960
Epoch:  5	Train Error: 0.41640	Test Error: 0.44020
Epoch:  6	Train Error: 0.40766	Test Error: 0.44020
Epoch:  7	Train Error: 0.37530	Test Error: 0.41580
Epoch:  8	Train Error: 0.35228	Test Error: 0.40010
Epoch:  9	Train Error: 0.33910	Test Error: 0.40330
Epoch: 10	Train Error: 0.31796	Test Error: 0.39100
Epoch: 11	Train Error: 0.31764	Test Error: 0.39090
Epoch: 12	Train Error: 0.29400	Test Error: 0.38290
Epoch: 13	Train Error: 0.29114	Test Error: 0.38420
Epoch: 14	Train Error: 0.25812	Test Error: 0.36490
Epoch: 15	Train Error: 0.24832	Test Error: 0.37130
Epoch: 16	Train Error: 0.24544	Test Error: 0.37410
Epoch: 17	Train Error: 0.22780	Test Error: 0.36940
Epoch: 18	Train Error: 0.21632	Test Error: 0.36750
Epoch: 19	Train Error: 0.19766	Test Error: 0.36830
Epoch: 20	Train Error: 0.18318	Test Error: 0.36770
