Epoch:  1	Train Error: 0.43420	Test Error: 0.44720
Epoch:  2	Train Error: 0.34858	Test Error: 0.38320
Epoch:  3	Train Error: 0.29240	Test Error: 0.34210
Epoch:  4	Train Error: 0.25256	Test Error: 0.33230
Epoch:  5	Train Error: 0.22498	Test Error: 0.32490
Epoch:  6	Train Error: 0.19206	Test Error: 0.31820
Epoch:  7	Train Error: 0.15584	Test Error: 0.31690
Epoch:  8	Train Error: 0.12684	Test Error: 0.31510
Epoch:  9	Train Error: 0.10078	Test Error: 0.31970
Epoch: 10	Train Error: 0.07744	Test Error: 0.32780
Epoch: 11	Train Error: 0.07006	Test Error: 0.32740
Epoch: 12	Train Error: 0.05364	Test Error: 0.33220
Epoch: 13	Train Error: 0.05414	Test Error: 0.33790
Epoch: 14	Train Error: 0.02668	Test Error: 0.33510
Epoch: 15	Train Error: 0.03576	Test Error: 0.33920
Epoch: 16	Train Error: 0.03458	Test Error: 0.34000
Epoch: 17	Train Error: 0.03564	Test Error: 0.34330
Epoch: 18	Train Error: 0.02528	Test Error: 0.33810
Epoch: 19	Train Error: 0.01660	Test Error: 0.34040
Epoch: 20	Train Error: 0.02204	Test Error: 0.34400
